output,title,Input
"Das Gesundheitssystem bzw. Gesundheitswesen umfasst alle Personen, Organisationen, Einrichtungen, Regelungen und Prozesse, deren Aufgabe die Förderung und Erhaltung der Gesundheit sowie deren Sicherung durch Prävention und Behandlung von Krankheiten und Verletzungen ist. Der Begriff Gesundheitswesen dient der Beschreibung des äußerst komplexen Gesundheitssystems zur Krankenversorgung und Gesunderhaltung, wogegen die Gesundheitswirtschaft als ganze neben der stationären und ambulanten Versorgung Kranker und der Vorbeugung gegen Krankheiten bei Gesunden unter anderem auch die Herstellung von Arzneimitteln und Medizinprodukten, den Gesundheitstourismus, die Wellness- sowie die Fitnessbranche umfasst.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Das Gesundheitssystem bzw', ' Gesundheitswesen umfasst Personen, Organisationen, Einrichtungen, Regelungen Prozesse, deren Aufgabe Förderung Erhaltung Gesundheit sowie deren Sicherung Prävention Behandlung Krankheiten Verletzungen ist', ' Der Begriff Gesundheitswesen dient Beschreibung äußerst komplexen Gesundheitssystems Krankenversorgung Gesunderhaltung, wogegen Gesundheitswirtschaft ganze neben stationären ambulanten Versorgung Kranker Vorbeugung Krankheiten Gesunden Herstellung Arzneimitteln Medizinprodukten, Gesundheitstourismus, Wellness- sowie Fitnessbranche umfasst']"
"Der Begriff Sanitätswesen ist für den notfallmedizinischen Dienst und Erste Hilfe, für den militärischen Sektor, im Katastrophen-/Zivilschutz und für diverse öffentliche Aufgaben wie Hygiene üblich.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Der Begriff Sanitätswesen notfallmedizinischen Dienst Erste Hilfe, militärischen Sektor, Katastrophen-/Zivilschutz diverse öffentliche Aufgaben Hygiene üblich']"
"Die Frage der Finanzierung ist verbunden mit der Frage, welche Kranke wie schnell welche Behandlung bekommen.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Die Frage Finanzierung verbunden Frage, Kranke schnell Behandlung bekommen']"
"In den Arztpraxen hat das Sparen – speziell bei niedergelassenen Ärzten am Ende eines Quartals, wenn die „Punkte“ der Praxis aufgebraucht sind – längst zu einer heimlichen Rationierung geführt.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['In Arztpraxen Sparen – speziell niedergelassenen Ärzten Ende Quartals, „Punkte“ Praxis aufgebraucht – längst heimlichen Rationierung geführt']"
"Schweden praktiziert ein System, das Kosten-Nutzen-Überlegungen in die ärztlichen Entscheidungen einfließen lässt.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Schweden praktiziert System, Kosten-Nutzen-Überlegungen ärztlichen Entscheidungen einfließen lässt']"
Die Beteiligten an einem Gesundheitssystem sind,https://de.wikipedia.org/wiki/Gesundheitssystem,['Die Beteiligten Gesundheitssystem']
"Hinzu kommt das Holländische Modell, bestehend aus Gesundheitsprämie und einkommensentsprechendem Beitrag.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Hinzu kommt Holländische Modell, bestehend Gesundheitsprämie einkommensentsprechendem Beitrag']"
"Bei der Organisation gibt es in den einzelnen Staaten erhebliche Unterschiede. So ist das Gesundheitssystem in Deutschland teilweise staatlich, teilweise privat organisiert. Auf der staatlichen Ebene gibt es eine stark vom Föderalismus geprägte Struktur.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Bei Organisation gibt einzelnen Staaten erhebliche Unterschiede', ' So Gesundheitssystem Deutschland teilweise staatlich, teilweise privat organisiert', ' Auf staatlichen Ebene gibt stark Föderalismus geprägte Struktur']"
Die rechte Tabelle zeigt die Länder mit den höchsten relativen Ausgaben im Gesundheitswesen als Anteil des Bruttoinlandsprodukts bzw. die Länder mit den höchsten absoluten Ausgaben als kaufkraftbereinigte in US-Dollar pro Kopf im Jahr 2016.,https://de.wikipedia.org/wiki/Gesundheitssystem,"['Die rechte Tabelle zeigt Länder höchsten relativen Ausgaben Gesundheitswesen Anteil Bruttoinlandsprodukts bzw', ' Länder höchsten absoluten Ausgaben kaufkraftbereinigte US-Dollar pro Kopf Jahr 2016']"
"Im Durchschnitt der OECD-Mitgliedsländer wachsen die Gesundheitsausgaben stärker als die Wirtschaftskraft. Die Pro-Kopf-Ausgaben stiegen von 1990 bis 2005 um über 80 %, während die Bruttoinlandsprodukte pro Kopf nur um 37 % wuchsen. Lagen die Gesundheitsausgaben 1970 durchschnittlich noch bei 5 % des BIP, war der Anteil 1990 auf 7 % angewachsen und stieg bis zum Jahr 2005 weiter auf 9 %. In Deutschland lagen die Gesundheitsausgaben im Jahr 2016 bei 359,00 Milliarden Euro, dies entsprach 11,3 % des BIP.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Im Durchschnitt OECD-Mitgliedsländer wachsen Gesundheitsausgaben stärker Wirtschaftskraft', ' Die Pro-Kopf-Ausgaben stiegen 1990 2005 80 %, Bruttoinlandsprodukte pro Kopf 37 % wuchsen', ' Lagen Gesundheitsausgaben 1970 durchschnittlich 5 % BIP, Anteil 1990 7 % angewachsen stieg Jahr 2005 9 %', ' In Deutschland lagen Gesundheitsausgaben Jahr 2016 359,00 Milliarden Euro, entsprach 11,3 % BIP']"
