,sentence
0,"Bos output: ['In Wahlen 1980 gelang Indira Gandhi, Macht zurückzukehren', ' In zweite Amtsperiode fällt Zuspitzung Konflikts Punjab, sikhistische Separatisten eigenen Staat forderten', ' Als militante Sikhs Goldenen Tempel Amritsar verschanzten, ordnete Indira Gandhi 1984 Operation Blue Star an', ' Indische Truppen stürmten Tempel beendeten Besetzung', ' Daraufhin kam blutigen Ausschreitungen, Ermordung Indira Gandhis Sikh-Leibwächter gipfelten', ' Ihr Sohn Rajiv Gandhi übernahm Regierungsgeschäfte, nicht Lage, geplanten Reformvorhaben wirkungsvoll umzusetzen', ' Ein Bestechungsskandal Zusammenhang schwedischen Rüstungskonzern Bofors schädigte Ansehen schließlich dermaßen, Opposition 1989 klaren Sieg Gandhis Kongresspartei erringen konnte', ' Nach zweijähriger Unterbrechung gelangte 1991 1996 jedoch erneut Macht', ' Die Regierung P', ' V', ' Narasimha Rao leitete wirtschaftliche Öffnung außenpolitische Neuorientierung seit Nehru sozialistisch ausgerichteten Landes ein', ' Zum Reformprogramm gehörten Privatisierung Staatsbetrieben, Aufhebung Handelsbeschränkungen, Beseitigung bürokratischer Investitionshemmnisse Steuersenkungen', ' Die Wirtschaftsreformen wurden späteren Regierungen fortgeführt'] ### Input: In den Wahlen von 1980 gelang es Indira Gandhi, an die Macht zurückzukehren. In ihre zweite Amtsperiode fällt die Zuspitzung des Konflikts im Punjab, wo sikhistische Separatisten einen eigenen Staat forderten. Als sich militante Sikhs im Goldenen Tempel in Amritsar verschanzten, ordnete Indira Gandhi 1984 die Operation Blue Star an. Indische Truppen stürmten den Tempel und beendeten dessen Besetzung. Daraufhin kam es zu blutigen Ausschreitungen, die in der Ermordung Indira Gandhis durch ihre Sikh-Leibwächter gipfelten. Ihr Sohn Rajiv Gandhi übernahm die Regierungsgeschäfte, war aber nicht in der Lage, die von ihm geplanten Reformvorhaben wirkungsvoll umzusetzen. Ein Bestechungsskandal im Zusammenhang mit dem schwedischen Rüstungskonzern Bofors schädigte sein Ansehen schließlich dermaßen, dass die Opposition 1989 einen klaren Sieg über Gandhis Kongresspartei erringen konnte. Nach zweijähriger Unterbrechung gelangte sie von 1991 bis 1996 jedoch erneut an die Macht. Die Regierung von P. V. Narasimha Rao leitete die wirtschaftliche Öffnung und außenpolitische Neuorientierung des seit Nehru sozialistisch ausgerichteten Landes ein. Zum Reformprogramm gehörten unter anderem die Privatisierung von Staatsbetrieben, die Aufhebung von Handelsbeschränkungen, die Beseitigung bürokratischer Investitionshemmnisse und Steuersenkungen. Die Wirtschaftsreformen wurden von späteren Regierungen fortgeführt. EOS"
1,"Bos output: ['Gerichte Deutschland grundsätzlich nicht tätig', ' Sie müssen Entscheidung angerufen ', ' Urteile Grundlage Gesetzen gesprochen', ' Bundesrichter Richterwahlausschuss berufen', ' Sie nicht weisungsgebunden', ' Im Gegensatz unterstehen Staatsanwälte Justizministern Bund Ländern'] ### Input: Gerichte werden in Deutschland grundsätzlich nicht von selbst tätig. Sie müssen zur Entscheidung angerufen werden . Urteile werden auf der Grundlage von Gesetzen gesprochen. Bundesrichter werden durch den Richterwahlausschuss berufen. Sie sind nicht weisungsgebunden. Im Gegensatz dazu unterstehen Staatsanwälte den Justizministern von Bund und Ländern. EOS"
2,"Bos output: ['Örtlich weist Flora Deutschland hohe Diversifikation Standortfaktoren Geländes mesoklimatischen Lage auf', ' Der Gesamtbestand Deutschland wild lebenden Pflanzenarten 9', '500 Arten geschätzt, davon fast 3', '000 Arten Samenpflanzen, 74 Farnpflanzen, 1', '000 Moose etwa 3', '000 Kieselalgen', ' Dazu kommen rund 14', '000 Pilz- 373 Schleimpilzarten', ' Insbesondere Brach- Störflächen finden heute Reihe eingeführter Arten Robinie Drüsige Springkraut'] ### Input: Örtlich weist die Flora in Deutschland eine hohe Diversifikation durch Standortfaktoren des Geländes und der mesoklimatischen Lage auf. Der Gesamtbestand der in Deutschland wild lebenden Pflanzenarten wird auf über 9.500 Arten geschätzt, davon sind fast 3.000 Arten Samenpflanzen, 74 Farnpflanzen, über 1.000 Moose und etwa 3.000 Kieselalgen. Dazu kommen rund 14.000 Pilz- und 373 Schleimpilzarten. Insbesondere auf Brach- und Störflächen finden sich heute eine Reihe eingeführter Arten wie die Robinie und das Drüsige Springkraut. EOS"
3,"Bos output: ['Am Zweiten Weltkrieg nahm Indien zunächst 200', '000 Mann starken Freiwilligenarmee, Laufe Krieges zwei Millionen Soldaten anwuchs, Seiten Großbritanniens teil', ' Bei Kriegsende mehr 24', '000 indische Soldaten gefallen, 11', '000 vermisst zwei Millionen Menschen verhungert ', ' Auf Seite gab Bestrebungen, vorangetrieben Subhash Chandra Bose, indischen Freiwilligenarmee Bündnis Achsenmächten britische Kolonialmacht Freiheit Indiens erkämpfen'] ### Input: Am Zweiten Weltkrieg nahm Indien mit einer zunächst 200.000 Mann starken Freiwilligenarmee, die im Laufe des Krieges auf über zwei Millionen Soldaten anwuchs, auf Seiten Großbritanniens teil. Bei Kriegsende waren mehr als 24.000 indische Soldaten gefallen, über 11.000 vermisst und zwei Millionen Menschen verhungert . Auf der anderen Seite gab es aber auch Bestrebungen, vor allem vorangetrieben durch Subhash Chandra Bose, mit einer indischen Freiwilligenarmee im Bündnis mit den Achsenmächten gegen die britische Kolonialmacht die Freiheit Indiens zu erkämpfen. EOS"
4,"Bos output: ['Schullehrer müssen Deutschland spezielles Lehramtsstudium absolviert haben', ' Ausbilder, dualen Berufsausbildung tätig sind, müssen abgeschlossene Ausbildung jeweiligen Beruf darüber hinaus entweder Prüfung Ausbildereignungsverordnung Meisterprüfung absolviert haben'] ### Input: Schullehrer müssen in Deutschland ein spezielles Lehramtsstudium absolviert haben. Ausbilder, die in der dualen Berufsausbildung tätig sind, müssen eine abgeschlossene Ausbildung im jeweiligen Beruf und darüber hinaus auch entweder eine Prüfung nach der Ausbildereignungsverordnung oder eine Meisterprüfung absolviert haben. EOS"
5,"Bos output: ['Stadtflucht Gegenteil Landflucht', ' Aufgetreten räumliche Migrationsphänomen -Deutschland 1960er- 1970er-Jahre, viele Menschen Geld Wirtschaftswunders Eigenheim außerhalb großen Städte bauten ', ' Dieser Prozess findet jedoch ausschließlich Umgebung größeren Städten statt, Einpendelzeit Arbeit 60 Minuten nicht überschreitet', ' In Deutschland lassen viele Beispiele Stadtflucht nennen; München-Germering, Frankfurt-Oberursel, Köln-Hürth, Hamburg-Pinneberg-Elmshorn usw', ' zeigten entsprechende Bevölkerungsdynamik', ' Diese Bewegung letzter Zeit „aus Mode“ gekommen, steigenden Energie- Kraftstoffpreise Leben Vorort teuer machen', ' Großstädte versuchen Abwanderung Familien außerdem Instrumenten kommunaler Familienpolitik begegnen', ' In DDR gab Stadtflucht 1960er- 1970er-Jahre nicht', ' So Beispiel Nesse-Apfelstädt 5933 Einwohnern größte Vorort Erfurt, gleich große Kassel größten Vorort Baunatal knapp 28', '000 Einwohnern besitzt'] ### Input: Stadtflucht ist das Gegenteil der Landflucht. Aufgetreten ist dieses räumliche Migrationsphänomen in -Deutschland während der 1960er- und 1970er-Jahre, als viele Menschen sich mit dem Geld des Wirtschaftswunders ein Eigenheim außerhalb der großen Städte bauten . Dieser Prozess findet jedoch ausschließlich in der Umgebung von größeren Städten statt, so dass die Einpendelzeit zur Arbeit 60 Minuten nicht überschreitet. In Deutschland lassen sich viele Beispiele für die Stadtflucht nennen; München-Germering, Frankfurt-Oberursel, Köln-Hürth, Hamburg-Pinneberg-Elmshorn usw. zeigten eine entsprechende Bevölkerungsdynamik. Diese Bewegung ist aber in letzter Zeit etwas „aus der Mode“ gekommen, da die steigenden Energie- und Kraftstoffpreise das Leben im Vorort teuer machen. Großstädte versuchen der Abwanderung von Familien außerdem mit Instrumenten kommunaler Familienpolitik zu begegnen. In der DDR gab es die Stadtflucht der 1960er- und 1970er-Jahre nicht. So ist zum Beispiel Nesse-Apfelstädt mit 5933 Einwohnern der größte Vorort von Erfurt, während das gleich große Kassel als größten Vorort Baunatal mit knapp 28.000 Einwohnern besitzt. EOS"
6,"Bos output: ['Unmittelbar Einnahme Gebiete US-Streitkräfte übernahmen US-Militärpolizeien Polizeiaufgaben, wobei ebenfalls vielfältige Varianten gab', ' Jede amerikanische Teilstreitkraft besaß eigene Militärpolizei Kriminalpolizei', ' Zusätzlich wurde speziell Dienst Besatzungszone United States Constabulary aufgestellt, 1946 1952 bestand'] ### Input: Unmittelbar nach Einnahme der Gebiete durch die US-Streitkräfte übernahmen die US-Militärpolizeien die Polizeiaufgaben, wobei es hier ebenfalls sehr vielfältige Varianten gab. Jede amerikanische Teilstreitkraft besaß eine eigene Militärpolizei mit Kriminalpolizei. Zusätzlich wurde speziell für den Dienst in der Besatzungszone die United States Constabulary aufgestellt, die von 1946 bis 1952 bestand. EOS"
7,"Bos output: ['1918 unterstützte Nationale Indische Kongress Einführung aktiven Frauenwahlrechts, Verfassungsreformen 1919 ermöglichten gesetzgebenden Versammlungen Provinzen, Einführung entscheiden', ' Die Provinz Madras, antibrahmanische Partei Mehrheit hatte, erste, Frauen 1921 Stimmrecht gab; Provinzen folgten', ' Frauen, Wahlrecht Provinzebene besaßen, durften Wahlen Zentralen Gesetzgebenden Versammlung teilnehmen'] ### Input: 1918 unterstützte der Nationale Indische Kongress die Einführung des aktiven Frauenwahlrechts, und die Verfassungsreformen von 1919 ermöglichten es den gesetzgebenden Versammlungen in den Provinzen, über die Einführung selbst zu entscheiden. Die Provinz Madras, in der die antibrahmanische Partei die Mehrheit hatte, war die erste, die Frauen 1921 das Stimmrecht gab; andere Provinzen folgten. Frauen, die das Wahlrecht auf Provinzebene besaßen, durften auch an den Wahlen zur Zentralen Gesetzgebenden Versammlung teilnehmen. EOS"
8,"Bos output: ['Zwischen 2004 2014 stieg Zahl westlichen Bundesländern sowohl absolut Verhältnis Einwohnerzahl deutlich an, Ostdeutschland Teil deutliche Rückgänge verzeichnen', ' Während Wert Vollzeitäquivalente Rheinland-Pfalz 2004 2014 6,9 % oben bewegte, sank Sachsen-Anhalt 23,3 %', ' Diese unterschiedliche Entwicklung lässt hohe Personaldichte Ostdeutschland erklären, Übernahme DDR-Personal ergab', ' Hatte Bayern Jahr 2004 pro 100', '000 Einwohner 293 Beschäftigte, Sachsen-Anhalt 404'] ### Input: Zwischen 2004 und 2014 stieg die Zahl in den westlichen Bundesländern sowohl absolut als auch im Verhältnis zur Einwohnerzahl deutlich an, in Ostdeutschland sind zum Teil deutliche Rückgänge zu verzeichnen. Während sich der Wert der Vollzeitäquivalente in Rheinland-Pfalz von 2004 bis 2014 um 6,9 % nach oben bewegte, sank er in Sachsen-Anhalt um 23,3 %. Diese unterschiedliche Entwicklung lässt sich nur durch die sehr hohe Personaldichte in Ostdeutschland erklären, die sich durch die Übernahme von DDR-Personal ergab. Hatte Bayern im Jahr 2004 pro 100.000 Einwohner 293 Beschäftigte, waren es in Sachsen-Anhalt 404. EOS"
9,"Bos output: ['Die Parteienlandschaft Landes äußerst vielfältig ', ' Viele Parteien bestimmte Bundesstaaten beschränkt, dennoch ergibt immer Notwendigkeit, Koalitionen bilden', ' Die National Democratic Alliance Koalition, Beginn Regierungszeit 1998 13 Parteien bestand '] ### Input: Die Parteienlandschaft des Landes ist äußerst vielfältig . Viele Parteien sind zwar auf bestimmte Bundesstaaten beschränkt, dennoch ergibt sich immer wieder die Notwendigkeit, Koalitionen zu bilden. Die National Democratic Alliance war eine Koalition, die zu Beginn ihrer Regierungszeit 1998 aus 13 Parteien bestand . EOS"
